case_reference,referral_date,clean_summary,summary,Service,keyword_group,tier_1,tier_2,Tier_2_full_names,tier2_consolidated_description,num_tier_1,num_tier_2,summary_length,summary_word_count,keywords_list,sample_weight,label_issue_count,has_label_issue,cleanlab_issue_count,cleanlab_avg_quality,cleanlab_min_quality,cleanlab_has_issue
CFPB-2023-00011,2025-05-18,Company refuses to provide documentation requested by consumer,"Consumer summary:
I am seeking resolution for misapplied payment with Great Lakes on my debt collection. The company has failed to honor their commitments and obligations. Multiple complaints to their customer service department have gone unresolved. I have exhausted all internal dispute mechanisms with no satisfactory outcome.

Provider response:
Company refuses to provide documentation requested by consumer

Resolution requested by consumer:
Close account without penalty and cease all collection activities

Information provided by the CFPB:
Consumer alleges provider violated consumer protection statutes. Documentation supports consumer's position. Provider must respond with substantive resolution proposal. Consumer advised of rights and complaint process timeline.",Debt collection,"['Payment processing', 'Consumer protection']",Payment processing,Misapplied payment,Payment applied to wrong account or balance,Misapplied payment,1,1,776,101,['Misapplied payment'],0.562854206024524,1,True,2,0.851986855329245,0.1483072723493237,True
CFPB-2023-00012,2023-08-22,Company has closed consumer's account and refuses further communication,"Consumer summary:
Experian has violated my rights as a consumer regarding my checking or savings account. Misapplied payment occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company has closed consumer's account and refuses further communication

Resolution requested by consumer:
Honor the original terms and conditions agreed upon

Information provided by the CFPB:
Complaint filed regarding checking or savings account account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Checking or savings account,"['Payment processing', 'Consumer protection']",Payment processing,"Misapplied payment, Payment not posted, Autopay malfunction","Payment applied to wrong account or balance, Payment made but not reflected in account, Automatic payment failed or charged incorrectly",Misapplied payment Payment not posted Autopay malfunction,1,3,820,107,"['Misapplied payment', 'Payment not posted', 'Autopay malfunction']",1.451781131257607,0,False,0,0.9212233249862231,0.1352909344957453,False
CFPB-2023-00013,2024-05-09,Company states they followed all applicable laws and regulations,"Consumer summary:
My experience with American Express regarding my student loan has been extremely frustrating. Identity theft not resolved has caused financial hardship and stress. The company's representatives have been dismissive and unhelpful. Despite escalating to supervisors, no meaningful action has been taken to resolve this serious issue.

Provider response:
Company states they followed all applicable laws and regulations

Resolution requested by consumer:
Correct the erroneous information and provide written confirmation

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Student loan,"['Fraud and security', 'Consumer protection', 'Security and fraud']",Fraud and security,"Identity theft not resolved, Data compromise","Identity theft reported but company not cooperating, Personal data compromised due to company breach",Identity theft not resolved Data compromise,1,2,772,101,"['Identity theft not resolved', 'Data compromise']",1.271999077254209,1,True,0,0.9638834391947431,0.7515404032923687,False
CFPB-2023-00014,2023-03-23,Company indicates they are investigating and will respond within 30 days,"Consumer summary:
I am seeking resolution for undisclosed fees with TD Bank on my consumer loan. The company has failed to honor their commitments and obligations. Multiple complaints to their customer service department have gone unresolved. I have exhausted all internal dispute mechanisms with no satisfactory outcome.

Provider response:
Company indicates they are investigating and will respond within 30 days

Resolution requested by consumer:
Cease all contact and remove negative reporting

Information provided by the CFPB:
Consumer submitted detailed complaint with supporting documentation. Multiple attempts to resolve with provider were unsuccessful. Matter falls within CFPB jurisdiction. Standard referral process initiated.",Consumer loan,"['Fees and charges', 'Consumer protection', 'Billing and fees']",Fees and charges,"Undisclosed fees, Excessive interest","Fees charged without prior disclosure or consent, Interest rate increased without proper notification",Undisclosed fees Excessive interest,1,2,739,100,"['Undisclosed fees', 'Excessive interest']",0.615789610811298,0,False,1,0.9849240054973787,0.6016095969921272,True
CFPB-2023-00015,2023-11-24,Company claims account was properly managed according to terms and conditions,"Consumer summary:
This complaint concerns account closure denied with Chase. My consumer loan has been impacted by their failure to properly handle this matter. I submitted written requests and called numerous times. Each representative gave different answers and no one took ownership of resolving the issue. The company's lack of accountability is unacceptable.

Provider response:
Company claims account was properly managed according to terms and conditions

Resolution requested by consumer:
Cease all contact and remove negative reporting

Information provided by the CFPB:
Consumer contacted CFPB after exhausting provider's internal complaint process. Issue relates to account closure denied which is actionable under consumer financial protection laws. Provider given opportunity to resolve within statutory timeframe.",Consumer loan,"['Account management', 'Consumer protection']",Account management,Account closure denied,Unable to close account despite multiple requests,Account closure denied,1,1,827,113,['Account closure denied'],1.17646038574324,0,False,1,0.9365344637883188,0.05803799719665719,True
CFPB-2023-00016,2025-06-21,Company refuses to provide documentation requested by consumer,"Consumer summary:
Fifth Third Bank has violated my rights as a consumer regarding my money transfer or virtual currency. Abusive contact occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company refuses to provide documentation requested by consumer

Resolution requested by consumer:
Update credit report to reflect accurate information

Information provided by the CFPB:
Consumer contacted CFPB after exhausting provider's internal complaint process. Issue relates to abusive contact which is actionable under consumer financial protection laws. Provider given opportunity to resolve within statutory timeframe.",Money transfer or virtual currency,"['Debt collection', 'Consumer protection']",Debt collection,"Abusive contact, Unauthorized disclosure","Harassment or threatening communication from collector, Debt information disclosed to unauthorized parties",Abusive contact Unauthorized disclosure,1,2,815,109,"['Abusive contact', 'Unauthorized disclosure']",1.583271084290829,0,False,1,0.8541094060814477,0.6800128107777587,True
CFPB-2023-00017,2023-08-02,Company claims account was properly managed according to terms and conditions,"Consumer summary:
Wells Fargo has violated my rights as a consumer regarding my payday loan or personal loan. Unauthorized disclosure occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company claims account was properly managed according to terms and conditions

Resolution requested by consumer:
Provide detailed explanation and documentation of all actions taken

Information provided by the CFPB:
Consumer submitted detailed complaint with supporting documentation. Multiple attempts to resolve with provider were unsuccessful. Matter falls within CFPB jurisdiction. Standard referral process initiated.",Payday loan or personal loan,"['Debt collection', 'Consumer protection']",Debt collection,"Unauthorized disclosure, Validation not provided, False debt claims","Debt information disclosed to unauthorized parties, Debt validation requested but not provided, Collector claiming debt not owed by consumer",Unauthorized disclosure Validation not provided False debt claims,1,3,808,107,"['Unauthorized disclosure', 'Validation not provided', 'False debt claims']",1.024240549477926,0,False,0,0.9208770895556861,0.3152862041155044,False
CFPB-2023-00018,2024-12-11,Company refuses to provide documentation requested by consumer,"Consumer summary:
This complaint concerns unjustified penalties with KeyBank. My credit reporting has been impacted by their failure to properly handle this matter. I submitted written requests and called numerous times. Each representative gave different answers and no one took ownership of resolving the issue. The company's lack of accountability is unacceptable.

Provider response:
Company refuses to provide documentation requested by consumer

Resolution requested by consumer:
Implement requested changes and prevent future occurrences

Information provided by the CFPB:
Complaint filed regarding credit reporting account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Credit reporting,"['Fees and charges', 'Consumer protection', 'Billing and fees']",Fees and charges,"Unjustified penalties, Undisclosed fees, Fee dispute unresolved","Penalty charges applied incorrectly or excessively, Fees charged without prior disclosure or consent, Fee dispute raised but not resolved by company",Unjustified penalties Undisclosed fees Fee dispute unresolved,1,3,818,105,"['Unjustified penalties', 'Undisclosed fees', 'Fee dispute unresolved']",1.464760593899313,2,True,0,0.9000956407759522,0.6480577376131905,False
CFPB-2023-00019,2024-06-07,Company indicates they are investigating and will respond within 30 days,"Consumer summary:
After discovering unauthorized account opening on my debt collection with TD Bank, I immediately contacted them to dispute. The company's investigation was inadequate and their conclusion was incorrect. I provided substantial documentation supporting my position which they dismissed. Their refusal to properly investigate this matter is causing me significant harm.

Provider response:
Company indicates they are investigating and will respond within 30 days

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Received consumer complaint via phone. Consumer has made reasonable efforts to resolve directly. Provider's actions appear inconsistent with industry standards and regulations. Referral sent requesting provider's formal position and resolution plan.",Debt collection,"['Account management', 'Consumer protection']",Account management,"Unauthorized account opening, Account closure denied, Missing statements","Account opened without consumer authorization, Unable to close account despite multiple requests, Statements not received or accessible online",Unauthorized account opening Account closure denied Missing statements,1,3,851,114,"['Unauthorized account opening', 'Account closure denied', 'Missing statements']",1.35216616580283,0,False,1,0.8748585470436087,0.05429539595786332,True
CFPB-2023-00020,2024-02-14,Company states consumer is responsible for charges and no refund will be provided,"Consumer summary:
I am seeking resolution for investigation not conducted with Barclays on my checking or savings account. The company has failed to honor their commitments and obligations. Multiple complaints to their customer service department have gone unresolved. I have exhausted all internal dispute mechanisms with no satisfactory outcome.

Provider response:
Company states consumer is responsible for charges and no refund will be provided

Resolution requested by consumer:
Compensate for damages caused by company's mishandling

Information provided by the CFPB:
Complaint received via online portal. Consumer has documented evidence of investigation not conducted. Provider has been unresponsive to previous inquiries. Referred to provider's complaint department with 15 business day resolution period.",Checking or savings account,"['Credit reporting', 'Consumer protection']",Credit reporting,"Investigation not conducted, Monitoring failure, Inaccurate information reported","Company failed to investigate consumer dispute, Credit monitoring service failed to alert consumer, Incorrect or outdated information on credit report",Investigation not conducted Monitoring failure Inaccurate information reported,1,3,815,111,"['Investigation not conducted', 'Monitoring failure', 'Inaccurate information reported']",1.658907808442303,1,True,2,0.9562056232581225,0.4718506588380348,True
CFPB-2023-00021,2025-04-23,Company offered settlement but consumer finds it inadequate,"Consumer summary:
I purchased/opened consumer loan with US Bank expecting professional service. Instead, I encountered monitoring failure that the company refuses to properly address. Their customer service is inadequate, their policies are unclear, and their resolution process is broken. I am left with no option but to file this formal complaint.

Provider response:
Company offered settlement but consumer finds it inadequate

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Complaint filed regarding consumer loan account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Consumer loan,"['Credit reporting', 'Consumer protection']",Credit reporting,Monitoring failure,Credit monitoring service failed to alert consumer,Monitoring failure,1,1,789,106,['Monitoring failure'],0.980918195362821,2,True,0,0.9481380304547041,0.8946147096305964,False
CFPB-2023-00022,2023-10-18,Company has closed consumer's account and refuses further communication,"Consumer summary:
Nelnet has mishandled my mortgage account resulting in unauthorized disclosure. When I discovered this problem, I contacted them immediately but was given the runaround. Different departments blamed each other and no one took responsibility. The situation has deteriorated due to their incompetence and lack of action.

Provider response:
Company has closed consumer's account and refuses further communication

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Consumer submitted detailed complaint with supporting documentation. Multiple attempts to resolve with provider were unsuccessful. Matter falls within CFPB jurisdiction. Standard referral process initiated.",Mortgage,"['Debt collection', 'Consumer protection']",Debt collection,"Unauthorized disclosure, Abusive contact","Debt information disclosed to unauthorized parties, Harassment or threatening communication from collector",Unauthorized disclosure Abusive contact,1,2,759,101,"['Unauthorized disclosure', 'Abusive contact']",0.700829476925149,2,True,2,0.9672946690754771,0.5243826385953514,True
CFPB-2023-00023,2025-05-13,Company provided generic response without addressing specific concerns,"Consumer summary:
After discovering unable to access funds on my student loan with Citizens Bank, I immediately contacted them to dispute. The company's investigation was inadequate and their conclusion was incorrect. I provided substantial documentation supporting my position which they dismissed. Their refusal to properly investigate this matter is causing me significant harm.

Provider response:
Company provided generic response without addressing specific concerns

Resolution requested by consumer:
Implement requested changes and prevent future occurrences

Information provided by the CFPB:
Consumer alleges provider violated consumer protection statutes. Documentation supports consumer's position. Provider must respond with substantive resolution proposal. Consumer advised of rights and complaint process timeline.",Student loan,"['Account management', 'Consumer protection']",Account management,"Unable to access funds, Unauthorized account opening, Account closure denied","Funds frozen or held without explanation, Account opened without consumer authorization, Unable to close account despite multiple requests",Unable to access funds Unauthorized account opening Account closure denied,1,3,829,105,"['Unable to access funds', 'Unauthorized account opening', 'Account closure denied']",0.895256084620699,0,False,1,0.976054776597139,0.7270532453323084,True
CFPB-2023-00024,2023-08-06,Company claims no record of consumer's previous complaints exists,"Consumer summary:
This complaint concerns inaccurate information reported with Nelnet. My checking or savings account has been impacted by their failure to properly handle this matter. I submitted written requests and called numerous times. Each representative gave different answers and no one took ownership of resolving the issue. The company's lack of accountability is unacceptable.

Provider response:
Company claims no record of consumer's previous complaints exists

Resolution requested by consumer:
Cease all contact and remove negative reporting

Information provided by the CFPB:
Complaint filed regarding checking or savings account account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Checking or savings account,"['Credit reporting', 'Consumer protection']",Credit reporting,"Inaccurate information reported, Monitoring failure","Incorrect or outdated information on credit report, Credit monitoring service failed to alert consumer",Inaccurate information reported Monitoring failure,1,2,841,111,"['Inaccurate information reported', 'Monitoring failure']",0.624020971312337,1,True,2,0.917358189429691,0.5531320304688666,True
CFPB-2023-00025,2023-06-07,Company denies any wrongdoing and stands by their original decision,"Consumer summary:
I am filing this complaint regarding USAA's handling of my consumer loan. The undisclosed fees problem began three months ago when I noticed discrepancies. Despite providing evidence and following their dispute process, the company has not taken corrective action. Their customer service is unhelpful and the issue remains unresolved.

Provider response:
Company denies any wrongdoing and stands by their original decision

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Consumer submitted detailed complaint with supporting documentation. Multiple attempts to resolve with provider were unsuccessful. Matter falls within CFPB jurisdiction. Standard referral process initiated.",Consumer loan,"['Fees and charges', 'Consumer protection', 'Billing and fees']",Fees and charges,Undisclosed fees,Fees charged without prior disclosure or consent,Undisclosed fees,1,1,771,105,['Undisclosed fees'],0.57610357144692,1,True,1,0.9208083148025896,0.6201238481157454,True
CFPB-2023-00026,2023-01-08,Company indicates they are investigating and will respond within 30 days,"Consumer summary:
After discovering identity theft not resolved on my student loan with Nelnet, I immediately contacted them to dispute. The company's investigation was inadequate and their conclusion was incorrect. I provided substantial documentation supporting my position which they dismissed. Their refusal to properly investigate this matter is causing me significant harm.

Provider response:
Company indicates they are investigating and will respond within 30 days

Resolution requested by consumer:
Provide full refund for unauthorized or disputed charges

Information provided by the CFPB:
Complaint received via online portal. Consumer has documented evidence of identity theft not resolved. Provider has been unresponsive to previous inquiries. Referred to provider's complaint department with 15 business day resolution period.",Student loan,"['Fraud and security', 'Consumer protection', 'Security and fraud', 'Billing and fees']",Fraud and security,"Identity theft not resolved, Fraudulent charges, Account breach","Identity theft reported but company not cooperating, Unauthorized charges not removed from account, Account accessed by unauthorized party",Identity theft not resolved Fraudulent charges Account breach,1,3,840,114,"['Identity theft not resolved', 'Fraudulent charges', 'Account breach']",0.835590588764182,0,False,2,0.9055456638710129,0.5008563772715934,True
CFPB-2023-00027,2024-09-15,Company states consumer is responsible for charges and no refund will be provided,"Consumer summary:
This is regarding ongoing dispute not processed issues with my mortgage serviced by FedLoan Servicing. I have made good faith efforts to resolve this matter directly with the company. They have been unresponsive to my concerns and continue practices that harm consumers. Their business conduct is unethical and potentially illegal.

Provider response:
Company states consumer is responsible for charges and no refund will be provided

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Mortgage,"['Credit reporting', 'Consumer protection']",Credit reporting,"Dispute not processed, Inaccurate information reported","Dispute submitted but not properly handled, Incorrect or outdated information on credit report",Dispute not processed Inaccurate information reported,1,2,776,110,"['Dispute not processed', 'Inaccurate information reported']",0.745750525273388,2,True,2,0.8946094624161713,0.621240546380827,True
CFPB-2023-00028,2025-06-27,Company refuses to provide documentation requested by consumer,"Consumer summary:
I am filing this complaint regarding Navient's handling of my debt collection. The investigation not conducted problem began three months ago when I noticed discrepancies. Despite providing evidence and following their dispute process, the company has not taken corrective action. Their customer service is unhelpful and the issue remains unresolved.

Provider response:
Company refuses to provide documentation requested by consumer

Resolution requested by consumer:
Compensate for damages caused by company's mishandling

Information provided by the CFPB:
Consumer contacted CFPB after exhausting provider's internal complaint process. Issue relates to investigation not conducted which is actionable under consumer financial protection laws. Provider given opportunity to resolve within statutory timeframe.",Debt collection,"['Credit reporting', 'Consumer protection']",Credit reporting,"Investigation not conducted, Monitoring failure","Company failed to investigate consumer dispute, Credit monitoring service failed to alert consumer",Investigation not conducted Monitoring failure,1,2,829,109,"['Investigation not conducted', 'Monitoring failure']",1.0415790606114,1,True,0,0.9812780563669143,0.8220291514492462,False
CFPB-2023-00029,2024-12-07,Company has closed consumer's account and refuses further communication,"Consumer summary:
Citizens Bank has violated my rights as a consumer regarding my mortgage. Unjustified penalties occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company has closed consumer's account and refuses further communication

Resolution requested by consumer:
Honor the original terms and conditions agreed upon

Information provided by the CFPB:
Complaint filed regarding mortgage account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Mortgage,"['Fees and charges', 'Consumer protection', 'Billing and fees']",Fees and charges,"Unjustified penalties, Undisclosed fees, Excessive interest","Penalty charges applied incorrectly or excessively, Fees charged without prior disclosure or consent, Interest rate increased without proper notification",Unjustified penalties Undisclosed fees Excessive interest,1,3,790,102,"['Unjustified penalties', 'Undisclosed fees', 'Excessive interest']",1.089370917891026,2,True,0,0.8928306116240486,0.4016486134653599,False
CFPB-2023-00030,2024-08-10,Company indicates they are investigating and will respond within 30 days,"Consumer summary:
My experience with Midland Credit regarding my credit card or prepaid card has been extremely frustrating. Validation not provided has caused financial hardship and stress. The company's representatives have been dismissive and unhelpful. Despite escalating to supervisors, no meaningful action has been taken to resolve this serious issue.

Provider response:
Company indicates they are investigating and will respond within 30 days

Resolution requested by consumer:
Correct the erroneous information and provide written confirmation

Information provided by the CFPB:
Received consumer complaint via phone. Consumer has made reasonable efforts to resolve directly. Provider's actions appear inconsistent with industry standards and regulations. Referral sent requesting provider's formal position and resolution plan.",Credit card or prepaid card,"['Debt collection', 'Consumer protection']",Debt collection,Validation not provided,Debt validation requested but not provided,Validation not provided,1,1,838,111,['Validation not provided'],1.656388417627412,2,True,0,0.9493079125329007,0.32665286474560334,False
